Filename	Noise	NoiseParams
/data/ds114/sub-01/ses-retest/anat/sub-01_ses-retest_T1w.nii.gz		
/data/ds114/sub-01/ses-retest/anat/sub-01_ses-retest_T1w.nii.gz	1-Voxel	[(127, 78, 128), 1.5]
/data/ds114/sub-01/ses-retest/anat/sub-01_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_acq-highres_T1w.nii.gz		
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_acq-highres_T1w.nii.gz	1-Voxel	[(126, 80, 125), 1.5]
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_acq-highres_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_T1w.nii.gz		
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_T1w.nii.gz	1-Voxel	[(125, 79, 130), 1.5]
/data/ds114/sub-01/ses-test/anat/sub-01_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-02/ses-retest/anat/sub-02_ses-retest_T1w.nii.gz		
/data/ds114/sub-02/ses-retest/anat/sub-02_ses-retest_T1w.nii.gz	1-Voxel	[(127, 80, 129), 1.5]
/data/ds114/sub-02/ses-retest/anat/sub-02_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz		
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	1-Voxel	[(78, 129, 126), 1.5]
/data/ds114/sub-02/ses-test/anat/sub-02_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz		
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	1-Voxel	[(126, 80, 125), 1.5]
/data/ds114/sub-03/ses-retest/anat/sub-03_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz		
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	1-Voxel	[(127, 79, 130), 1.5]
/data/ds114/sub-03/ses-test/anat/sub-03_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz		
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	1-Voxel	[(125, 76, 130), 1.5]
/data/ds114/sub-04/ses-retest/anat/sub-04_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz		
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	1-Voxel	[(130, 77, 129), 1.5]
/data/ds114/sub-04/ses-test/anat/sub-04_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz		
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	1-Voxel	[(126, 77, 125), 1.5]
/data/ds114/sub-05/ses-retest/anat/sub-05_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz		
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	1-Voxel	[(126, 77, 125), 1.5]
/data/ds114/sub-05/ses-test/anat/sub-05_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-06/ses-retest/anat/sub-06_ses-retest_T1w.nii.gz		
/data/ds114/sub-06/ses-retest/anat/sub-06_ses-retest_T1w.nii.gz	1-Voxel	[(127, 75, 128), 1.5]
/data/ds114/sub-06/ses-retest/anat/sub-06_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-06/ses-test/anat/sub-06_ses-test_T1w.nii.gz		
/data/ds114/sub-06/ses-test/anat/sub-06_ses-test_T1w.nii.gz	1-Voxel	[(128, 76, 126), 1.5]
/data/ds114/sub-06/ses-test/anat/sub-06_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-07/ses-retest/anat/sub-07_ses-retest_T1w.nii.gz		
/data/ds114/sub-07/ses-retest/anat/sub-07_ses-retest_T1w.nii.gz	1-Voxel	[(126, 78, 129), 1.5]
/data/ds114/sub-07/ses-retest/anat/sub-07_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-07/ses-test/anat/sub-07_ses-test_T1w.nii.gz		
/data/ds114/sub-07/ses-test/anat/sub-07_ses-test_T1w.nii.gz	1-Voxel	[(127, 79, 127), 1.5]
/data/ds114/sub-07/ses-test/anat/sub-07_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-08/ses-retest/anat/sub-08_ses-retest_T1w.nii.gz		
/data/ds114/sub-08/ses-retest/anat/sub-08_ses-retest_T1w.nii.gz	1-Voxel	[(128, 79, 125), 1.5]
/data/ds114/sub-08/ses-retest/anat/sub-08_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-08/ses-test/anat/sub-08_ses-test_T1w.nii.gz		
/data/ds114/sub-08/ses-test/anat/sub-08_ses-test_T1w.nii.gz	1-Voxel	[(125, 79, 130), 1.5]
/data/ds114/sub-08/ses-test/anat/sub-08_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-09/ses-retest/anat/sub-09_ses-retest_T1w.nii.gz		
/data/ds114/sub-09/ses-retest/anat/sub-09_ses-retest_T1w.nii.gz	1-Voxel	[(125, 76, 127), 1.5]
/data/ds114/sub-09/ses-retest/anat/sub-09_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-09/ses-test/anat/sub-09_ses-test_T1w.nii.gz		
/data/ds114/sub-09/ses-test/anat/sub-09_ses-test_T1w.nii.gz	1-Voxel	[(128, 75, 130), 1.5]
/data/ds114/sub-09/ses-test/anat/sub-09_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-10/ses-retest/anat/sub-10_ses-retest_T1w.nii.gz		
/data/ds114/sub-10/ses-retest/anat/sub-10_ses-retest_T1w.nii.gz	1-Voxel	[(130, 77, 128), 1.5]
/data/ds114/sub-10/ses-retest/anat/sub-10_ses-retest_T1w.nii.gz	Rician	[1.1, 1.5]
/data/ds114/sub-10/ses-test/anat/sub-10_ses-test_T1w.nii.gz		
/data/ds114/sub-10/ses-test/anat/sub-10_ses-test_T1w.nii.gz	1-Voxel	[(127, 79, 129), 1.5]
/data/ds114/sub-10/ses-test/anat/sub-10_ses-test_T1w.nii.gz	Rician	[1.1, 1.5]
